Transaction ID,Date,Amount,Product Type,Region
e6a35971-f589-4db2-acce-5191ae2f023e,2024-11-08,94.7,Furniture,North
14b7c4bc-1b34-48da-b54e-ca248c63208e,2024-06-25,89.5,Toys,Central
d5daaf31-622b-47fd-827d-802b1e2106e2,2024-08-28,89.15,Electronics,North
52e62d1c-f778-41a5-bd82-053c605598e9,2023-03-21,700.38,Furniture,East
c65bd0de-c447-493c-bf35-31417990d60a,2024-11-04,347.87,Electronics,Central
d6fa691a-b6ca-48b1-8893-530ba9ff838d,2023-07-30,124.23,Books,East
85dea8d4-3302-44fc-a80a-7f7a6c2676a1,2024-11-22,634.1,Books,East
afe7c503-37c3-4087-8312-9b0e74482383,2023-09-06,943.55,Books,Central
f8567baf-1693-4e07-a1ed-c691eef72610,2024-07-27,575.31,Books,East
2c12e095-d266-4296-9c54-7c72e0867f41,2024-04-22,882.32,Books,North
fd2faff2-57b6-4de5-aae9-caf58056aecd,2023-07-21,765.63,Clothing,South
0d95a743-5ab2-4c1c-8c0f-712513c87e5a,2024-03-19,600.16,Books,West
9325764b-816f-46c7-b307-429b3c780089,2023-07-30,947.52,Toys,East
02ef30bc-2994-46ef-b419-d4f0f64385f5,2024-04-26,104.7,Books,West
ef571f65-1806-4bad-8f8e-104b18a604c1,2023-09-02,197.17,Toys,South
4f904475-a9dd-4727-8149-09c44e3997f1,2023-12-18,636.02,Furniture,Central
4c6381f5-6642-4000-bb13-b1df0586de5a,2024-02-22,878.39,Electronics,East
c5cb1ab5-0d5d-4a1c-8eb7-092bd7385263,2024-07-21,314.13,Electronics,North
e0c2bf3c-a0e6-47d4-8c6c-262b09600293,2023-01-19,667.17,Clothing,South
482c0df5-c419-4ebc-893f-c834ac25c00c,2023-04-29,546.9,Furniture,South
357afcb2-7664-45b2-b576-094850a90d75,2023-09-12,672.26,Electronics,West
aacbf47e-7cf5-47a6-8227-5e56b9d06664,2023-02-16,555.61,Toys,North
fcfe36e3-7fe9-4074-afd3-3082f05655b2,2024-03-25,345.9,Books,North
22a4b59b-5217-4bc9-bb07-e37053926f3b,2024-02-21,165.18,Toys,Central
e6b8ddc6-3d7c-4b71-8d39-a1bd6a17c282,2024-07-17,273.56,Clothing,South
9ec5b344-cd2b-42b6-80c8-7fb6d7152d67,2023-07-19,746.35,Electronics,South
9c6e19f0-d646-4cd8-90c0-71140313a7a6,2024-02-20,388.21,Electronics,Central
799358de-c050-4513-81b7-0ec229390b98,2024-01-27,309.6,Furniture,West
fb73ff41-2a97-440b-b2c6-327a453e9664,2023-12-22,742.9,Books,East
98cd4201-4c35-4095-a3e1-56a6a5df57fb,2024-06-02,643.78,Books,Central
b4667671-2eae-4941-a30b-b6d2458fb887,2024-02-04,251.44,Furniture,Central
dd7ebb48-5a3f-42c1-8a49-ece48f0a7256,2023-10-06,735.43,Books,South
87ae9143-ea3e-4f3f-94de-bee8397f046f,2023-08-13,181.36,Toys,East
aff77d1f-cd9f-4091-a09b-3710c03fd5f8,2023-02-26,656.8,Books,East
1744e8f6-65d1-4aca-a394-ca4550e1622f,2023-05-03,836.09,Electronics,Central
6d432b35-d16f-4e6e-a87e-934a2f4f3771,2024-02-08,161.95,Books,Central
9d277161-bd24-473a-8fa9-321005db1b85,2023-09-05,700.87,Clothing,East
6c1a765a-8d62-44aa-b449-ac3174b0033f,2024-08-25,812.16,Electronics,East
